,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particle,Field,Livetime,Realtime,Tier,Area,Average diameter,Perimeter,Orientation,Max circle radius,Area in pixels,Volume of sphere,Equivalent diameter,Class,Total,C,O,Na,Cl,Al,Fe,Cu,Mg,Sr,S,N,Si,K,Ca,Tl,Cr,Pd,Mo,W,F,V,Sc,Ni,Ru,Ba,Rh,P,Mn,B,Field,Area,Average diameter,Volume of sphere
P44,14,9.285,9.285,0,2.732065,2.085221,6.453767,87,0.731594,135,10.67211,1.865093,Unclassified,1,0.7133643056,0.2296087871,,,,,,,,0.0094457579,,0.0012494691,,,,0.0463316803,,,,,,,,,,,,,,14,2.732065,2.085221,10.67211
P45,14,11.442,11.442,0,0.060713,0.357064,1.064201,90,0.146319,3,0.035353,0.278032,Unclassified,1,0.7920443844,0.1999978845,0.0043770536,,,,,0.0010532913,,0.0025273862,,,,,,,,,,,,,,,,,,,,14,0.060713,0.357064,0.035353
P46,14,11.838,11.838,0,0.08095,0.397269,1.17912,90,0.146319,4,0.05443,0.321043,Unclassified,1,0.7998666609,0.1975310347,0.0014716862,,,,,,,,,0.0011306182,,,,,,,,,,,,,,,,,,14,0.08095,0.397269,0.05443
P47,14,11.159,11.159,0,0.182138,0.543232,1.619077,0,0.292637,9,0.183702,0.481565,Unclassified,1,0.7861489813,0.2126882408,,,,,,0.0011627779,,,,,,,,,,,,,,,,,,,,,,14,0.182138,0.543232,0.183702
P48,15,11.449,11.449,0,0.121425,0.490353,1.456557,42,0.146319,6,0.099995,0.393196,Unclassified,1,0.7777579798,0.2011490141,0.0084568663,0.0071551041,,,,0.0008557483,,0.0046252874,,,,,,,,,,,,,,,,,,,,15,0.121425,0.490353,0.099995
P49,15,11.973,11.973,0,0.121425,0.481908,1.456557,172,0.146319,6,0.099995,0.393196,Unclassified,1,0.81863798,0.1723395422,0.0036990397,0.0053234381,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.121425,0.481908,0.099995
P50,16,8.746,8.746,0,0.060713,0.367245,1.094568,0,0.146319,3,0.035353,0.278032,Unclassified,1,0.855175251,0.144824749,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.060713,0.367245,0.035353
P51,16,9.558,9.558,0,0.546413,0.979177,3.028033,166,0.327179,27,0.954543,0.834095,Unclassified,1,0.7814944863,0.1472284691,0.0256985328,0.0455785117,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.546413,0.979177,0.954543
P52,16,10.802,10.802,0,0.060713,0.335715,0.998125,41,0.146319,3,0.035353,0.278032,Unclassified,1,0.7810989204,0.2037138849,0.0048522397,0.004921778,,,,0.0029577943,,0.0014491895,,0.0010061932,,,,,,,,,,,,,,,,,,16,0.060713,0.335715,0.035353
P53,16,11.286,11.286,0,0.1619,0.54426,1.637552,112,0.206926,8,0.153952,0.454024,Unclassified,1,0.7962812406,0.1965272885,0.0026333402,0.0032254387,,,,0.001332692,,,,,,,,,,,,,,,,,,,,,,16,0.1619,0.54426,0.153952
P54,16,12.773,12.773,0,0.121425,0.455239,1.356822,0,0.146319,6,0.099995,0.393196,Unclassified,1,0.828401562,0.1682337884,,,,,,,,0.0033646496,,,,,,,,,,,,,,,,,,,,16,0.121425,0.455239,0.099995
P55,17,13.461,13.461,0,0.789263,1.162079,3.652278,106,0.438956,39,1.657092,1.002458,Unclassified,1,0.8141382262,0.1768577858,0.009003988,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.789263,1.162079,1.657092
P56,17,11.523,11.523,0,0.24285,0.650081,1.930173,10,0.292637,12,0.282827,0.556063,Unclassified,1,0.7786378333,0.2059275163,0.0122879302,0.0019345282,,,,0.001212192,,,,,,,,,,,,,,,,,,,,,,17,0.24285,0.650081,0.282827
P57,17,10.283,10.283,0,0.182138,0.556997,1.652735,164,0.206926,9,0.183702,0.481565,Unclassified,1,0.7093321996,0.246933866,0.0141740991,0.0032832855,0.0016340338,,,0.0073591935,,0.0135026873,,0.0037806352,,,,,,,,,,,,,,,,,,17,0.182138,0.556997,0.183702
P58,17,11.255,11.255,0,0.182138,0.57579,1.733995,0,0.206926,9,0.183702,0.481565,Unclassified,1,0.7733857396,0.2157918575,0.0071826228,,,,,0.0010715402,,0.0025682399,,,,,,,,,,,,,,,,,,,,17,0.182138,0.57579,0.183702
P59,18,9.762,9.762,0,0.505938,1.031247,3.305471,162,0.292637,25,0.850471,0.802608,Unclassified,1,0.8597741035,0.1386267902,,,,,,,,,,0.0015991063,,,,,,,,,,,,,,,,,,18,0.505938,1.031247,0.850471
P60,18,12.242,12.242,0,0.08095,0.362155,1.079384,0,0.146319,4,0.05443,0.321043,Unclassified,1,0.7959491276,0.1961202642,0.0079306082,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.08095,0.362155,0.05443
P61,18,11.41,11.41,0,0.121425,0.482706,1.456557,138,0.146319,6,0.099995,0.393196,Unclassified,1,0.7956626131,0.200072406,0.0007163154,,,,,0.0012638902,,0.0016566634,,0.0006281119,,,,,,,,,,,,,,,,,,18,0.121425,0.482706,0.099995
P62,18,11.998,11.998,0,0.283325,0.67143,1.99625,0,0.292637,14,0.356403,0.600617,Unclassified,1,0.8089920521,0.1515709146,0.0180561412,0.0213808921,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.283325,0.67143,0.356403
P63,20,11.725,11.725,0,0.060713,0.335715,0.998125,41,0.146319,3,0.035353,0.278032,Unclassified,1,0.8066470982,0.1855489353,0.0034494609,0.0015645742,,,,0.0014142919,,,,0.0013756395,,,,,,,,,,,,,,,,,,20,0.060713,0.335715,0.035353
P64,21,8.66,8.66,0,1.457102,1.954316,6.143911,54,0.327179,72,4.156697,1.362072,Unclassified,1,0.8561005526,0.1421227446,,,,,,,,,,0.0017767028,,,,,,,,,,,,,,,,,,21,1.457102,1.954316,4.156697
P65,21,10.434,10.434,0,0.40475,0.886977,2.716937,52,0.292637,20,0.608548,0.717875,Unclassified,1,0.7749231721,0.2103370448,,,0.0018016586,,,,,0.0077603425,,0.0051777819,,,,,,,,,,,,,,,,,,21,0.40475,0.886977,0.608548
P66,22,11.851,11.851,0,0.546413,0.982376,2.961957,174,0.413852,27,0.954543,0.834095,Unclassified,1,0.7990163282,0.1936356604,0.0045274397,0.0028205718,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.546413,0.982376,0.954543
P67,22,11.921,11.921,0,0.141663,0.521883,1.553,11,0.146319,7,0.126008,0.4247,Unclassified,1,0.8062183592,0.1890764816,0.0047051592,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.141663,0.521883,0.126008
P68,22,11.155,11.155,0,0.222613,0.618551,1.83373,0,0.292637,11,0.248221,0.53239,Unclassified,1,0.7834286753,0.18735271,0.0133866807,0.0101955008,,,,0.0016547225,,0.002790364,,0.0011913467,,,,,,,,,,,,,,,,,,22,0.222613,0.618551,0.248221
P69,23,11.846,11.846,0,0.424988,0.956759,3.028033,138,0.292637,21,0.654755,0.735603,Unclassified,1,0.7946584303,0.1857337279,0.0093563419,0.0080880701,,,,0.0021634298,,,,,,,,,,,,,,,,,,,,,,23,0.424988,0.956759,0.654755
P70,23,7.647,7.647,0,0.647601,1.036402,3.175369,92,0.438956,32,1.231614,0.908048,Unclassified,1,0.7380073593,0.1179577086,0.0523636525,0.0916712796,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.647601,1.036402,1.231614
